subject	predicate	object	birthPlace	<predicate>	age	object
He_Fani 	gender 	Female	Huoshan_County 	<gender >		Female
He_Fani 	knowsLanguage 	Chinese_language	Huoshan_County 	<knowsLanguage >		Chinese_lang
Maymunah_bint_al-Harith 	birthDate 	0592-01-01	Mecca 	<age>	1432	1432
Qasim_ibn_Muhammad 	birthDate 	0598-01-01	Mecca 	<age>	1426	1426
Qasim_ibn_Muhammad 	gender 	Male	Mecca 	<gender >		Male
Ruqayya_bint_Muhammad 	birthDate 	0598-01-01	Mecca 	<age>	1426	1426
Ruqayya_bint_Muhammad 	gender 	Female	Mecca 	<gender >		Female
Safiyya_bint_Huyayy 	birthDate 	0610-01-01	Medina 	<age>	1414	1414
Safiyya_bint_Huyayy 	gender 	Female	Medina 	<gender >		Female
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ 	birthDate 	1552-10-21	Kremlin 	<age>	471	471
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ 	gender 	Male	Kremlin 	<gender >		Male
Tümen_Zasagt_Khan 	birthDate 	1539-01-01	Mongolia 	<age>	485	485
Tümen_Zasagt_Khan 	gender 	Male	Mongolia 	<gender >		Male
Umm_Habiba 	birthDate 	0594-01-01	Mecca 	<age>	1430	1430
Umm_Habiba 	gender 	Female	Mecca 	<gender >		Female
Umm_Salama 	birthDate 	0596-01-01	Mecca 	<age>	1428	1428
Umm_Salama 	gender 	Female	Mecca 	<gender >		Female
Umm_Salama 	knowsLanguage 	Arabic	Mecca 	<knowsLanguage >		Arabic
Sybilla_of_Normandy 	birthDate 	1092-01-01	Domfront_u002C__Orne 	<age>	932	932
Sybilla_of_Normandy 	gender 	Female	Domfront_u002C__Orne 	<gender >		Female
Sybilla_of_Normandy 	knowsLanguage 	English_language	Domfront_u002C__Orne 	<knowsLanguage >		English_lang
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt 	birthDate 	1641-03-02	Rudolstadt 	<age>	383	383
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt 	gender 	Male	Rudolstadt 	<gender >		Male
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt 	knowsLanguage 	German_language	Rudolstadt 	<knowsLanguage >		German_lang
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt 	nationality 	Germany 	Rudolstadt 	<nationality >		Germany 
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld 	birthDate 	1625-09-05	Birkenfeld 	<age>	398	398
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld 	gender 	Male	Birkenfeld 	<gender >		Male
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld 	knowsLanguage 	German_language	Birkenfeld 	<knowsLanguage >		German_lang
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld 	nationality 	Germany 	Birkenfeld 	<nationality >		Germany 
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen 	birthDate 	1647-01-06	Sondershausen 	<age>	377	377
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen 	gender 	Male	Sondershausen 	<gender >		Male
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen 	knowsLanguage 	German_language	Sondershausen 	<knowsLanguage >		German_lang
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen 	nationality 	Germany 	Sondershausen 	<nationality >		Germany 
Countess_Charlotte_of_Hanau-Lichtenberg 	birthDate 	1700-05-02	Bouxwiller_u002C__Bas-Rhin 	<age>	323	323
Countess_Charlotte_of_Hanau-Lichtenberg 	gender 	Female	Bouxwiller_u002C__Bas-Rhin 	<gender >		Female
Countess_Charlotte_of_Hanau-Lichtenberg 	knowsLanguage 	German_language	Bouxwiller_u002C__Bas-Rhin 	<knowsLanguage >		German_lang
Countess_Charlotte_of_Hanau-Lichtenberg 	nationality 	Germany 	Bouxwiller_u002C__Bas-Rhin 	<nationality >		Germany 
Frederick_I_u002C__Count_Palatine_of_Simmern 	birthDate 	1417-11-19	Simmern_im_Hunsrück 	<age>	606	606
Frederick_I_u002C__Count_Palatine_of_Simmern 	gender 	Male	Simmern_im_Hunsrück 	<gender >		Male
Frederick_I_u002C__Count_Palatine_of_Simmern 	knowsLanguage 	German_language	Simmern_im_Hunsrück 	<knowsLanguage >		German_lang
Frederick_I_u002C__Count_Palatine_of_Simmern 	nationality 	Germany 	Simmern_im_Hunsrück 	<nationality >		Germany 
Zainab_bint_Muhammad 	birthDate 	0599-01-01	Mecca_Province 	<age>	1425	1425
Zainab_bint_Muhammad 	gender 	Female	Mecca_Province 	<gender >		Female
Zaynab_bint_Jahsh 	birthDate 	0592-01-01	Mecca 	<age>	1432	1432
Zaynab_bint_Jahsh 	gender 	Female	Mecca 	<gender >		Female
Zaynab_bint_Jahsh 	knowsLanguage 	Arabic	Mecca 	<knowsLanguage >		Arabic
Zaynab_bint_Khuzayma 	birthDate 	0595-01-01	Mecca 	<age>	1429	1429
Zaynab_bint_Khuzayma 	gender 	Female	Mecca 	<gender >		Female
Charlotte_of_Belgium 	birthDate 	1840-06-07	Laeken 	<age>	183	183
Charlotte_of_Belgium 	gender 	Female	Laeken 	<gender >		Female
Charlotte_of_Belgium 	nationality 	Belgium 	Laeken 	<nationality >		Belgium 
Edward_Hutchinson__u0028_captain_u0029_ 	birthDate 	1613-05-28	Alford_u002C__Lincolnshire 	<age>	410	410
Edward_Hutchinson__u0028_captain_u0029_ 	gender 	Male	Alford_u002C__Lincolnshire 	<gender >		Male
Empress_Dowager_Xiaochun 	birthDate 	1593-01-01	Haicheng_u002C__Liaoning 	<age>	431	431
Empress_Dowager_Xiaochun 	gender 	Female	Haicheng_u002C__Liaoning 	<gender >		Female
Empress_Qian 	birthDate 	1426-01-01	H_u1EA3_i_Châu_district 	<age>	598	598
Empress_Qian 	gender 	Female	H_u1EA3_i_Châu_district 	<gender >		Female
Empress_Xiaosu 	birthDate 	1430-01-01	Changping_District 	<age>	594	594
Empress_Xiaosu 	gender 	Female	Changping_District 	<gender >		Female
Empress_Xiaoyuanzhen 	birthDate 	1580-01-01	Shuntian_Prefecture 	<age>	444	444
Empress_Xiaoyuanzhen 	gender 	Female	Shuntian_Prefecture 	<gender >		Female
Eston_Hemings 	birthDate 	1808-05-21	Monticello 	<age>	215	215
Eston_Hemings 	gender 	Male	Monticello 	<gender >		Male
Eston_Hemings 	nationality 	United_States 	Monticello 	<nationality >		United_States 
Itzcoatl 	birthDate 	1380-01-01	Tenochtitlan 	<age>	644	644
Itzcoatl 	gender 	Male	Tenochtitlan 	<gender >		Male
Eberhard_III_u002C__Duke_of_Württemberg 	award 	Knight_of_the_Elephant 	Stuttgart 	<award >		Knight_of_the_Elephant 
Eberhard_III_u002C__Duke_of_Württemberg 	birthDate 	1614-12-16	Stuttgart 	<age>	409	409
Eberhard_III_u002C__Duke_of_Württemberg 	gender 	Male	Stuttgart 	<gender >		Male
Eberhard_III_u002C__Duke_of_Württemberg 	knowsLanguage 	German_language	Stuttgart 	<knowsLanguage >		German_lang
Eberhard_III_u002C__Duke_of_Württemberg 	nationality 	Germany 	Stuttgart 	<nationality >		Germany 
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony 	birthDate 	1443-02-02	Munich 	<age>	581	581
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony 	gender 	Female	Munich 	<gender >		Female
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony 	knowsLanguage 	German_language	Munich 	<knowsLanguage >		German_lang
Elisabeth_of_Hesse_u002C__Electress_Palatine 	birthDate 	1539-02-23	Kassel 	<age>	485	485
Elisabeth_of_Hesse_u002C__Electress_Palatine 	gender 	Female	Kassel 	<gender >		Female
Elisabeth_of_Hesse_u002C__Electress_Palatine 	knowsLanguage 	German_language	Kassel 	<knowsLanguage >		German_lang
Elisabeth_of_Hesse_u002C__Electress_Palatine 	nationality 	Germany 	Kassel 	<nationality >		Germany 
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha 	birthDate 	1935-01-14	Hirschberg_u002C__Thuringia 	<age>	89	89
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha 	gender 	Male	Hirschberg_u002C__Thuringia 	<gender >		Male
Eurydice_of_Athens 	birthDate 	-0400-01-01	Athens 	<age>	2423	2423
Eurydice_of_Athens 	gender 	Female	Athens 	<gender >		Female
Eurydice_of_Athens 	knowsLanguage 	Ancient_Greek	Athens 	<knowsLanguage >		Ancient_Greek
Frederick_III_u002C__Elector_Palatine 	birthDate 	1515-01-01	Simmern_im_Hunsrück 	<age>	509	509
Frederick_III_u002C__Elector_Palatine 	gender 	Male	Simmern_im_Hunsrück 	<gender >		Male
Frederick_III_u002C__Elector_Palatine 	knowsLanguage 	German_language	Simmern_im_Hunsrück 	<knowsLanguage >		German_lang
Frederick_III_u002C__Elector_Palatine 	nationality 	Germany 	Simmern_im_Hunsrück 	<nationality >		Germany 
Günther_von_Wüllersleben 	gender 	Male	Bad_Hersfeld 	<gender >		Male
Günther_von_Wüllersleben 	knowsLanguage 	German_language	Bad_Hersfeld 	<knowsLanguage >		German_lang
Günther_von_Wüllersleben 	nationality 	Germany 	Bad_Hersfeld 	<nationality >		Germany 
Hermann_II_u002C__Landgrave_of_Thuringia 	birthDate 	1222-03-28	Creuzburg 	<age>	802	802
Hermann_II_u002C__Landgrave_of_Thuringia 	gender 	Male	Creuzburg 	<gender >		Male
Hermann_II_u002C__Landgrave_of_Thuringia 	knowsLanguage 	German_language	Creuzburg 	<knowsLanguage >		German_lang
Hermann_II_u002C__Landgrave_of_Thuringia 	nationality 	Germany 	Creuzburg 	<nationality >		Germany 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen 	award 	Order_of_the_White_Eagle__u0028_Poland_u0029_ 	Sondershausen 	<award >		Order_of_the_White_Eagle__u0028_Poland_u0029_ 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen 	birthDate 	1689-11-08	Sondershausen 	<age>	334	334
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen 	gender 	Male	Sondershausen 	<gender >		Male
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen 	knowsLanguage 	German_language	Sondershausen 	<knowsLanguage >		German_lang
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen 	nationality 	Germany 	Sondershausen 	<nationality >		Germany 
John_Louis_of_Nassau-Hadamar 	birthDate 	1590-08-06	Dillenburg 	<age>	433	433
John_Louis_of_Nassau-Hadamar 	gender 	Male	Dillenburg 	<gender >		Male
John_Louis_of_Nassau-Hadamar 	knowsLanguage 	German_language	Dillenburg 	<knowsLanguage >		German_lang
John_Louis_of_Nassau-Hadamar 	memberOf 	Fruitbearing_Society 	Dillenburg 	<memberOf >		Fruitbearing_Society 
John_Louis_of_Nassau-Hadamar 	nationality 	Germany 	Dillenburg 	<nationality >		Germany 
Karolina_of_Legnica-Brieg 	birthDate 	1652-12-02	Brzeg 	<age>	371	371
Karolina_of_Legnica-Brieg 	gender 	Female	Brzeg 	<gender >		Female
Karolina_of_Legnica-Brieg 	knowsLanguage 	German_language	Brzeg 	<knowsLanguage >		German_lang
Karolina_of_Legnica-Brieg 	nationality 	Germany 	Brzeg 	<nationality >		Germany 
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt 	birthDate 	1667-10-15	Rudolstadt 	<age>	356	356
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt 	gender 	Male	Rudolstadt 	<gender >		Male
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt 	knowsLanguage 	German_language	Rudolstadt 	<knowsLanguage >		German_lang
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt 	nationality 	Germany 	Rudolstadt 	<nationality >		Germany 
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ 	birthDate 	1607-10-09	Köthen 	<age>	416	416
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ 	gender 	Male	Köthen 	<gender >		Male
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ 	memberOf 	Fruitbearing_Society 	Köthen 	<memberOf >		Fruitbearing_Society 
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg 	birthDate 	1749-03-05	Glücksburg 	<age>	275	275
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg 	gender 	Female	Glücksburg 	<gender >		Female
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ 	birthDate 	1898-02-20	Sopron 	<age>	126	126
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ 	gender 	Male	Sopron 	<gender >		Male
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ 	knowsLanguage 	German_language	Sopron 	<knowsLanguage >		German_lang
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ 	nationality 	Germany 	Sopron 	<nationality >		Germany 
Prince_Ernst_August_of_Lippe 	birthDate 	1917-04-01	Dresden 	<age>	107	107
Prince_Ernst_August_of_Lippe 	gender 	Male	Dresden 	<gender >		Male
Prince_Ernst_August_of_Lippe 	knowsLanguage 	German_language	Dresden 	<knowsLanguage >		German_lang
Prince_Ernst_August_of_Lippe 	nationality 	Germany 	Dresden 	<nationality >		Germany 
Prince_Louis_of_Anhalt-Köthen 	birthDate 	1778-09-25	Köthen 	<age>	245	245
Prince_Louis_of_Anhalt-Köthen 	gender 	Male	Köthen 	<gender >		Male
Prince_Louis_of_Anhalt-Köthen 	knowsLanguage 	German_language	Köthen 	<knowsLanguage >		German_lang
Prince_Louis_of_Anhalt-Köthen 	nationality 	Germany 	Köthen 	<nationality >		Germany 
Princess_Magdalena_Reuss_of_Köstritz 	birthDate 	1920-08-20	Leipzig 	<age>	103	103
Princess_Magdalena_Reuss_of_Köstritz 	gender 	Female	Leipzig 	<gender >		Female
Princess_Magdalena_Reuss_of_Köstritz 	knowsLanguage 	German_language	Leipzig 	<knowsLanguage >		German_lang
Princess_Magdalena_Reuss_of_Köstritz 	nationality 	Germany 	Leipzig 	<nationality >		Germany 
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ 	birthDate 	1794-07-06	Regensburg 	<age>	229	229
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ 	gender 	Female	Regensburg 	<gender >		Female
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ 	knowsLanguage 	German_language	Regensburg 	<knowsLanguage >		German_lang
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ 	nationality 	Germany 	Regensburg 	<nationality >		Germany 
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ 	birthDate 	1836-01-04	Dresden 	<age>	188	188
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ 	gender 	Female	Dresden 	<gender >		Female
Princess_Augusta_of_Waldeck-Pyrmont 	birthDate 	1824-07-21	Bad_Arolsen 	<age>	199	199
Princess_Augusta_of_Waldeck-Pyrmont 	gender 	Female	Bad_Arolsen 	<gender >		Female
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ 	award 	Order_of_the_Starry_Cross 	Munich 	<award >		Order_of_the_Starry_Cross 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ 	birthDate 	1875-04-28	Munich 	<age>	148	148
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ 	gender 	Female	Munich 	<gender >		Female
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ 	knowsLanguage 	German_language	Munich 	<knowsLanguage >		German_lang
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ 	nationality 	Germany 	Munich 	<nationality >		Germany 
Princess_Elisabeth_Marie_of_Bavaria 	award 	Order_of_the_Starry_Cross 	Munich 	<award >		Order_of_the_Starry_Cross 
Princess_Elisabeth_Marie_of_Bavaria 	birthDate 	1874-01-08	Munich 	<age>	150	150
Princess_Elisabeth_Marie_of_Bavaria 	gender 	Female	Munich 	<gender >		Female
Princess_Elise_of_Hohenlohe-Langenburg 	birthDate 	1864-09-04	Langenburg 	<age>	159	159
Princess_Elise_of_Hohenlohe-Langenburg 	gender 	Female	Langenburg 	<gender >		Female
Princess_Hermine_of_Waldeck_and_Pyrmont 	birthDate 	1827-09-29	Bad_Arolsen 	<age>	196	196
Princess_Hermine_of_Waldeck_and_Pyrmont 	gender 	Female	Bad_Arolsen 	<gender >		Female
Princess_Hermine_of_Waldeck_and_Pyrmont 	knowsLanguage 	German_language	Bad_Arolsen 	<knowsLanguage >		German_lang
Princess_Hermine_of_Waldeck_and_Pyrmont 	nationality 	Germany 	Bad_Arolsen 	<nationality >		Germany 
Princess_Johanna_of_Hesse_and_by_Rhine 	birthDate 	1936-09-20	Darmstadt 	<age>	87	87
Princess_Johanna_of_Hesse_and_by_Rhine 	gender 	Female	Darmstadt 	<gender >		Female
Princess_Margaretha_of_Saxony 	birthDate 	1840-05-24	Dresden 	<age>	183	183
Princess_Margaretha_of_Saxony 	gender 	Female	Dresden 	<gender >		Female
Princess_Margaretha_of_Saxony 	knowsLanguage 	German_language	Dresden 	<knowsLanguage >		German_lang
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel 	birthDate 	1814-05-09	Copenhagen 	<age>	209	209
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel 	gender 	Female	Copenhagen 	<gender >		Female
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel 	knowsLanguage 	German_language	Copenhagen 	<knowsLanguage >		German_lang
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel 	nationality 	Germany 	Copenhagen 	<nationality >		Germany 
Princess_Therese_of_Nassau-Weilburg 	birthDate 	1815-04-17	Weilburg 	<age>	209	209
Princess_Therese_of_Nassau-Weilburg 	gender 	Female	Weilburg 	<gender >		Female
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	birthDate 	1822-02-14	Vienna 	<age>	202	202
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	gender 	Female	Vienna 	<gender >		Female
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	knowsLanguage 	French_language	Vienna 	<knowsLanguage >		French_lang
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	knowsLanguage 	German_language	Vienna 	<knowsLanguage >		German_lang
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	knowsLanguage 	Hungarian_language	Vienna 	<knowsLanguage >		Hungarian_lang
Princess_Victoria_of_Saxe-Coburg_and_Gotha 	nationality 	France 	Vienna 	<nationality >		France 
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg 	birthDate 	1347-04-09	Sønderborg_Castle 	<age>	677	677
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg 	gender 	Female	Sønderborg_Castle 	<gender >		Female
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg 	nationality 	Denmark 	Sønderborg_Castle 	<nationality >		Denmark 
J_u002E__J_u002E__Francis 	alumniOf 	University_of_London 	Dublin 	<alumniOf >		University_of_London 
J_u002E__J_u002E__Francis 	birthDate 	1839-04-25	Dublin 	<age>	184	184
J_u002E__J_u002E__Francis 	gender 	Male	Dublin 	<gender >		Male
J_u002E__J_u002E__Francis 	memberOf 	Gray_u0027_s_Inn 	Dublin 	<memberOf >		Gray_u0027_s_Inn 
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein 	birthDate 	1587-08-23	Neuburg_an_der_Donau 	<age>	436	436
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein 	gender 	Male	Neuburg_an_der_Donau 	<gender >		Male
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein 	knowsLanguage 	German_language	Neuburg_an_der_Donau 	<knowsLanguage >		German_lang
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein 	nationality 	Germany 	Neuburg_an_der_Donau 	<nationality >		Germany 
John_I_u002C__Count_Palatine_of_Zweibrücken 	birthDate 	1550-05-08	Meisenheim 	<age>	473	473
John_I_u002C__Count_Palatine_of_Zweibrücken 	gender 	Male	Meisenheim 	<gender >		Male
John_I_u002C__Count_Palatine_of_Zweibrücken 	knowsLanguage 	German_language	Meisenheim 	<knowsLanguage >		German_lang
John_I_u002C__Count_Palatine_of_Zweibrücken 	nationality 	Germany 	Meisenheim 	<nationality >		Germany 
Louis_IV_u002C__Landgrave_of_Thuringia 	birthDate 	1200-11-04	Creuzburg 	<age>	823	823
Louis_IV_u002C__Landgrave_of_Thuringia 	gender 	Male	Creuzburg 	<gender >		Male
Louis_IV_u002C__Landgrave_of_Thuringia 	knowsLanguage 	German_language	Creuzburg 	<knowsLanguage >		German_lang
Louis_IV_u002C__Landgrave_of_Thuringia 	nationality 	Germany 	Creuzburg 	<nationality >		Germany 
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme 	birthDate 	1678-02-24	Hôtel_de_Condé 	<age>	346	346
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme 	gender 	Female	Hôtel_de_Condé 	<gender >		Female
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme 	knowsLanguage 	French_language	Hôtel_de_Condé 	<knowsLanguage >		French_lang
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme 	nationality 	France 	Hôtel_de_Condé 	<nationality >		France 
Otto_Henry_u002C__Count_Palatine_of_Sulzbach 	birthDate 	1556-08-01	Amberg 	<age>	467	467
Otto_Henry_u002C__Count_Palatine_of_Sulzbach 	gender 	Male	Amberg 	<gender >		Male
Otto_Henry_u002C__Count_Palatine_of_Sulzbach 	knowsLanguage 	German_language	Amberg 	<knowsLanguage >		German_lang
Otto_Henry_u002C__Count_Palatine_of_Sulzbach 	nationality 	Germany 	Amberg 	<nationality >		Germany 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis 	alumniOf 	University_of_Würzburg 	Regensburg 	<alumniOf >		University_of_Würzburg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis 	birthDate 	1901-02-02	Regensburg 	<age>	123	123
Prince_Ludwig_Philipp_of_Thurn_and_Taxis 	gender 	Male	Regensburg 	<gender >		Male
Prince_Ludwig_Philipp_of_Thurn_and_Taxis 	knowsLanguage 	German_language	Regensburg 	<knowsLanguage >		German_lang
Prince_Ludwig_Philipp_of_Thurn_and_Taxis 	nationality 	Germany 	Regensburg 	<nationality >		Germany 
Prince_Raphael_Rainer_of_Thurn_and_Taxis 	award 	Bavarian_Order_of_Merit 	Regensburg 	<award >		Bavarian_Order_of_Merit 
Prince_Raphael_Rainer_of_Thurn_and_Taxis 	birthDate 	1906-05-30	Regensburg 	<age>	117	117
Prince_Raphael_Rainer_of_Thurn_and_Taxis 	gender 	Male	Regensburg 	<gender >		Male
Prince_Raphael_Rainer_of_Thurn_and_Taxis 	knowsLanguage 	German_language	Regensburg 	<knowsLanguage >		German_lang
