subject	predicate	object	isCitizenOf
<Ed_Asner>	<actedIn>	Rich_Man,_Poor_Man_(miniseries)	Australia
<Christian_Hanson_(footballer)>	<wasBornIn>	Middlesbrough	United_Kingdom
<Ivory_Coast>	<dealsWith>	China	Bahrain
<Cristian_Daniel_Ledesma>	<playsFor>	Italy_national_football_team	Cyprus
<Calum_Davenport>	<playsFor>	Watford_F.C.	El_Salvador
<Invercargill>	<isLocatedIn>	South_Island	Chile
<Geoff_Scott_(footballer)>	<isAffiliatedTo>	Cambridge_United_F.C.	Bulgaria
<Liam_Chilvers>	<playsFor>	A.F.C._Telford_United	United_Arab_Emirates
<Alessandro_Bastrini>	<playsFor>	Calcio_Catania	Republic_of_Ireland
<Dean_Howell>	<isAffiliatedTo>	Notts_County_F.C.	Cyprus
<Steve_Leo_Beleck>	<playsFor>	ACF_Fiorentina	Belgium
<Roberto_Baronio>	<isAffiliatedTo>	Udinese_Calcio	Bulgaria
<Ben_Smith_(footballer,_born_1978)>	<isAffiliatedTo>	Arsenal_F.C.	Belgium
<Jonathan_Swift>	<graduatedFrom>	Trinity_College,_Dublin	United_Kingdom
<Tony_Pulis>	<isAffiliatedTo>	Bristol_Rovers_F.C.	Martinique
<Gale_Anne_Hurd>	<isMarriedTo>	Brian_De_Palma	United_States
<Milan>	<owns>	A.C._Milan	Tanzania
<Mali>	<isLocatedIn>	Africa	Wales
<Parlophone>	<isLocatedIn>	United_Kingdom	Brazil
<Charles_Darwin>	<worksAt>	University_of_Cambridge	Sweden
<Brian_Kidd>	<isAffiliatedTo>	Bolton_Wanderers_F.C.	Senegal
<Toumani_Diagouraga>	<wasBornIn>	Paris	Australia
<John_Cairns_(footballer)>	<playsFor>	Leicester_City_F.C.	Chile
<Don_Knotts>	<diedIn>	Los_Angeles	Bulgaria
<James_Tavernier>	<isAffiliatedTo>	Sheffield_Wednesday_F.C.	France
<Etta_James>	<hasWonPrize>	Grammy_Award	United_States
<Rolando_Bianchi>	<isAffiliatedTo>	Bologna_F.C._1909	Austria
<Simon_Grayson>	<playsFor>	Aston_Villa_F.C.	Ukraine
<Simon_Grayson>	<isAffiliatedTo>	Blackburn_Rovers_F.C.	Ukraine
<Corrado_Colombo>	<playsFor>	U.C._Sampdoria	Bangladesh
<Alphonse_Tchami>	<isAffiliatedTo>	Odense_Boldklub	Croatia
<Abdulai_Bell-Baggie>	<playsFor>	Tranmere_Rovers_F.C.	Wales
<Abdulai_Bell-Baggie>	<isAffiliatedTo>	Sierra_Leone_national_football_team	Wales
<Ferenc_Puskás>	<isAffiliatedTo>	Panathinaikos_F.C.	Greece
<Myles_Weston>	<isAffiliatedTo>	Charlton_Athletic_F.C.	Serbia
<Nathan_Blake>	<playsFor>	Bolton_Wanderers_F.C.	Brazil
<Niall_Thompson>	<playsFor>	Colchester_United_F.C.	United_Arab_Emirates
<Andrew_Stanton>	<created>	Finding_Nemo	Puerto_Rico
<Tokyo>	<isLocatedIn>	Japan	Israel
<Alejandro_Scopelli>	<isAffiliatedTo>	Valencia_CF	Russia
<Grand_Teton_National_Park>	<isLocatedIn>	United_States	Spain
<Charlie_Sheringham>	<playsFor>	Ipswich_Town_F.C.	Mali
<Blackpool>	<isLocatedIn>	North_West_England	Norway
<Landon_Donovan>	<playsFor>	FC_Bayern_Munich	Greece
<Antonio_Banderas>	<actedIn>	Four_Rooms	Australia
<Emory_University>	<isLocatedIn>	United_States	Wales
<Djibril_Cissé>	<isAffiliatedTo>	S.S._Lazio	Japan
<David_Mendes_da_Silva>	<playsFor>	AZ_Alkmaar	Israel
<Dan_Harding>	<playsFor>	Southampton_F.C.	United_Arab_Emirates
<Poland>	<hasNeighbor>	Ukraine	Iran
<Chris_Powell>	<isAffiliatedTo>	Huddersfield_Town_A.F.C.	Brazil
<Grégory_Tadé>	<isAffiliatedTo>	Forfar_Athletic_F.C.	Northern_Ireland
<David_Thewlis>	<actedIn>	Anonymous_(film)	Israel
<Gerry_Francis>	<playsFor>	Exeter_City_F.C.	Hungary
<Tim_Matheson>	<wasBornIn>	Glendale,_California	Bulgaria
<Jason_Brown_(footballer)>	<playsFor>	Wales_national_football_team	Denmark
<Jason_Brown_(footballer)>	<isAffiliatedTo>	Wales_national_football_team	Denmark
<Legend_(1985_film)>	<isLocatedIn>	United_Kingdom	Cameroon
<Stark_County,_Ohio>	<isLocatedIn>	Canton,_Ohio	Argentina
<Jermaine_Beckford>	<playsFor>	Leeds_United_F.C.	United_States
<Fred_Williamson>	<actedIn>	From_Dusk_till_Dawn	Austria
<Tim_Sherwood>	<isAffiliatedTo>	Coventry_City_F.C.	Iran
<Brian_Marwood>	<playsFor>	Middlesbrough_F.C.	Nigeria
<Jon_Macken>	<isAffiliatedTo>	Preston_North_End_F.C.	Italy
<Dave_Reeves>	<playsFor>	Burnley_F.C.	Brazil
<Latvia>	<hasNeighbor>	Lithuania	United_Kingdom
<Johann_Smith>	<playsFor>	Darlington_F.C.	Wales
<Paul_Dalglish>	<playsFor>	Norwich_City_F.C.	United_States
<Johann_Wolfgang_von_Goethe>	<influences>	Georg_Wilhelm_Friedrich_Hegel	Wales
<Bradley_Thomas_(footballer)>	<isAffiliatedTo>	Crawley_Town_F.C.	Scotland
<Darren_Dunning>	<playsFor>	Harrogate_Town_F.C.	Greece
<Ian_Muir>	<isAffiliatedTo>	Birmingham_City_F.C.	Netherlands
<Christopher_Guest>	<isMarriedTo>	Jamie_Lee_Curtis	Northern_Ireland
<Norman_Mailer>	<actedIn>	When_We_Were_Kings	Switzerland
<Patrick_Kluivert>	<playsFor>	Valencia_CF	Cyprus
<Peter_Shilton>	<wasBornIn>	Leicester	Norway
<Sally_Field>	<actedIn>	ER_(TV_series)	Spain
<Liam_Miller>	<isAffiliatedTo>	Brisbane_Roar_FC	Barbados
<Indo-Pakistani_War_of_1971>	<isLocatedIn>	Bangladesh	Norway
<Simon_Gillett>	<isAffiliatedTo>	Southampton_F.C.	Spain
<Simon_Gillett>	<wasBornIn>	Oxford	Spain
<Neil_Heaney>	<playsFor>	Arsenal_F.C.	England
<Kelvin_Langmead>	<isAffiliatedTo>	Preston_North_End_F.C.	Democratic_Republic_of_the_Congo
<Peter_Berg>	<directed>	Battleship_(film)	Austria
<Peter_Berg>	<created>	Friday_Night_Lights_(TV_series)	Austria
<Jake_Edwards_(footballer,_born_1976)>	<wasBornIn>	Manchester	Iran
<Jamie_Day_(footballer,_born_1979)>	<isAffiliatedTo>	Ebbsfleet_United_F.C.	Tanzania
<Ryan_Clarke>	<playsFor>	Eastleigh_F.C.	Belgium
<Nick_Burton>	<playsFor>	Yeovil_Town_F.C.	Italy
<Colin_Cramb>	<isAffiliatedTo>	Bristol_City_F.C.	Scotland
<Tom_Hanks>	<actedIn>	The_Green_Mile_(film)	Brazil
<Austria-Hungary>	<participatedIn>	Settling_Accounts	Puerto_Rico
<Edward_G._Robinson>	<actedIn>	The_Ten_Commandments_(1956_film)	Cameroon
<Dallas>	<isLocatedIn>	Texas	Bangladesh
<Adil_Ramzi>	<playsFor>	AZ_Alkmaar	Chile
<Parker_Posey>	<actedIn>	Best_in_Show_(film)	Spain
<Lincoln_City_F.C.>	<isLocatedIn>	Lincoln,_England	Sweden
<Daniel_Inouye>	<wasBornIn>	Honolulu	Panama
<Daniel_Inouye>	<hasWonPrize>	Medal_of_Honor	Panama
<Joe_Anyinsah>	<playsFor>	Bury_F.C.	Argentina
<Björn_Runström>	<playsFor>	Fulham_F.C.	Cameroon
<Ademola_Bankole>	<playsFor>	Barnet_F.C.	Slovenia
<University_of_Vienna>	<isLocatedIn>	Vienna	Netherlands
<Eric_Wynalda>	<isAffiliatedTo>	Atlanta_Silverbacks	Croatia
<Eric_Wynalda>	<playsFor>	New_England_Revolution	Croatia
<Igor_Mitreski>	<isAffiliatedTo>	FC_Metalurh_Zaporizhya	Austria
<Toni_Silva>	<isAffiliatedTo>	Northampton_Town_F.C.	Cyprus
<Italy>	<participatedIn>	Lebanese_Civil_War	Italy
<Brad_Jones_(footballer)>	<playsFor>	Sheffield_Wednesday_F.C.	United_States
<The_Culinary_Institute_of_America>	<isLocatedIn>	New_York	Monaco
<White_Plains,_New_York>	<isLocatedIn>	New_York	Cape_Verde
<Craig_Ireland>	<playsFor>	Notts_County_F.C.	Niger
<Bobby_Mimms>	<isAffiliatedTo>	Rotherham_United_F.C.	Greece
<Eastern_Kentucky_University>	<isLocatedIn>	Kentucky	Israel
<Roberto_Baggio>	<playsFor>	Juventus_F.C.	Belgium
<Edgar_Rice_Burroughs>	<influences>	Peter_David	Barbados
<Fresno_County,_California>	<isLocatedIn>	Fresno,_California	Kazakhstan
<Trésor_Kandol>	<isAffiliatedTo>	Millwall_F.C.	Israel
<Harvey_Weinstein>	<created>	The_Weinstein_Company	Greece
<Groucho_Marx>	<influences>	Brendon_Small	Argentina
<Chris_Hackett_(footballer)>	<isAffiliatedTo>	Heart_of_Midlothian_F.C.	United_States
<Ramon_Menezes>	<playsFor>	Al-Gharafa_Sports_Club	Monaco
<Matty_Lund>	<playsFor>	Bristol_Rovers_F.C.	Cameroon
<Ian_Holloway>	<playsFor>	Queens_Park_Rangers_F.C.	Belgium
<Rebecca_Hall>	<actedIn>	The_Town_(2010_film)	Australia
<Asia_Argento>	<actedIn>	Marie_Antoinette_(2006_film)	France
<Steven_Tyler>	<hasChild>	Liv_Tyler	Sweden
<Kevin_Lisbie>	<isAffiliatedTo>	Queens_Park_Rangers_F.C.	England
<Kevin_Lisbie>	<playsFor>	Queens_Park_Rangers_F.C.	England
<Luftwaffe>	<isLocatedIn>	Nazi_Germany	Brazil
<Leonard_Nimoy>	<actedIn>	Star_Trek_(film)	Norway
<Jean-Philippe_Javary>	<wasBornIn>	Montpellier	Cape_Verde
<Jocky_Wright>	<isAffiliatedTo>	Watford_F.C.	Hungary
<Harry_Belafonte>	<hasWonPrize>	Jean_Hersholt_Humanitarian_Award	Iran
<Lee_Cox_(footballer)>	<playsFor>	Inverness_Caledonian_Thistle_F.C.	Italy
<Joaquin_Phoenix>	<actedIn>	The_Master_(2012_film)	Netherlands
<Alan_Bennett_(footballer,_born_1981)>	<isAffiliatedTo>	Cheltenham_Town_F.C.	Republic_of_Ireland
<Leroy_Chambers>	<wasBornIn>	Sheffield	Panama
<Mark_Burchill>	<playsFor>	Portsmouth_F.C.	Hungary
<Peter_Marinello>	<wasBornIn>	Edinburgh	Republic_of_the_Congo
<Gertrude_Stein>	<diedIn>	Neuilly-sur-Seine	Netherlands
<Adam_Proudlock>	<isAffiliatedTo>	Ipswich_Town_F.C.	Bahrain
<Pontifical_Gregorian_University>	<isLocatedIn>	Italy	Republic_of_the_Congo
<Bam_Margera>	<actedIn>	Jackass_3D	Sweden
<Ben_Wilkinson>	<isAffiliatedTo>	Altrincham_F.C.	United_Kingdom
<Peter_Molloy_(footballer,_born_1909)>	<playsFor>	Queens_Park_Rangers_F.C.	Slovenia
<Huntington,_New_York>	<isLocatedIn>	New_York_metropolitan_area	Netherlands
<Tommy_Anderson_(footballer)>	<isAffiliatedTo>	A.F.C._Bournemouth	Republic_of_the_Congo
<Craig_McAllister>	<isAffiliatedTo>	Luton_Town_F.C.	Chile
<Alias_(TV_series)>	<isLocatedIn>	United_States	Spain
<Michael_Stipe>	<wasBornIn>	Decatur,_Georgia	Austria
<Ed_O'Neill>	<actedIn>	The_Adventures_of_Ford_Fairlane	Spain
<James_Dunne>	<isAffiliatedTo>	Wimbledon_F.C.	Bulgaria
<Jerry_Siegel>	<wasBornIn>	Cleveland	Martinique
<Greg_Mills_(footballer)>	<playsFor>	Boston_United_F.C.	Jamaica
<Jayden_Stockley>	<playsFor>	Exeter_City_F.C.	Nigeria
<Kamloops>	<isLocatedIn>	British_Columbia	United_Kingdom
<Alfie_Conn_Jr.>	<isAffiliatedTo>	Blackpool_F.C.	Dominica
<Eddie_Albert>	<wasBornIn>	Rock_Island,_Illinois	Dominica
<Columbia_Law_School>	<isLocatedIn>	New_York	Switzerland
<Bill_Pullman>	<actedIn>	Lucky_Numbers	Russia
<Neil_Cutler>	<playsFor>	Chester_City_F.C.	Scotland
<Amsterdam>	<isLocatedIn>	North_Holland	United_Arab_Emirates
<Mick_Bodley>	<isAffiliatedTo>	Peterborough_United_F.C.	El_Salvador
<Intel>	<isLocatedIn>	California	Italy
<James_Beattie_(footballer)>	<wasBornIn>	Lancaster,_Lancashire	Russia
<James_Beattie_(footballer)>	<isAffiliatedTo>	Leeds_United_F.C.	Russia
<James_Beattie_(footballer)>	<playsFor>	Rangers_F.C.	Russia
<Marcus_Haber>	<isAffiliatedTo>	Crewe_Alexandra_F.C.	Martinique
<Gaël_Givet>	<playsFor>	Evian_Thonon_Gaillard_F.C.	Wales
<Danny_Simpson>	<playsFor>	Leicester_City_F.C.	Germany
<Richard_Pryor>	<influences>	Whoopi_Goldberg	Spain
<Robbie_Findley>	<playsFor>	United_States_men's_national_soccer_team	United_States
<Kevin_McCarthy_(actor)>	<graduatedFrom>	University_of_Minnesota	United_Arab_Emirates
<Nicolas_Cage>	<actedIn>	Moonstruck	Brazil
<Alex_Gibney>	<graduatedFrom>	Yale_University	Belgium
<Martin_Hodge>	<isAffiliatedTo>	Oldham_Athletic_A.F.C.	Poland
<Andrew_Davies_(footballer)>	<isAffiliatedTo>	Queens_Park_Rangers_F.C.	Scotland
<Jeff_Wealands>	<isAffiliatedTo>	Northampton_Town_F.C.	Panama
<Los_Angeles_International_Airport>	<isLocatedIn>	Greater_Los_Angeles_Area	Republic_of_Ireland
<Henri_Lansbury>	<isAffiliatedTo>	Nottingham_Forest_F.C.	Bangladesh
<Bartholomew_Ogbeche>	<isAffiliatedTo>	Real_Valladolid	Chile
<Bartholomew_Ogbeche>	<playsFor>	Real_Valladolid	Chile
<Andy_Kiwomya>	<playsFor>	Dundee_F.C.	Switzerland
<David_Crown>	<playsFor>	Brentford_F.C.	Denmark
<Andrew_Hughes_(footballer,_born_1978)>	<isAffiliatedTo>	Charlton_Athletic_F.C.	Sweden
<Habib_Bamogo>	<playsFor>	PFC_Botev_Plovdiv	France
<Danny_Graham_(footballer)>	<isAffiliatedTo>	Blackpool_F.C.	Brazil
<Matthew_Barnes-Homer>	<playsFor>	Kidderminster_Harriers_F.C.	Niger
<Pavel_Pergl>	<playsFor>	Dynamo_Dresden	Japan
<Claude_Davis>	<isAffiliatedTo>	Derby_County_F.C.	Serbia
<Dave_Hanson_(footballer)>	<isAffiliatedTo>	Welling_United_F.C.	Spain
<Richard_Sylbert>	<wasBornIn>	Brooklyn	Bangladesh
<Michigan>	<hasOfficialLanguage>	English_language	Nigeria
<Matt_Dillon>	<actedIn>	There's_Something_About_Mary	Martinique
<Peter_Swan_(footballer,_born_1966)>	<isAffiliatedTo>	Plymouth_Argyle_F.C.	Spain
<Alfred_Molina>	<actedIn>	Magnolia_(film)	Hungary
<Kevin_James_(English_footballer)>	<playsFor>	Welling_United_F.C.	Denmark
<Novak_Djokovic>	<livesIn>	Monaco	Israel
<Hugh_Laurie>	<actedIn>	Arthur_Christmas	Panama
<Chris_Allen_(footballer,_born_1972)>	<isAffiliatedTo>	Oxford_United_F.C.	Greece
<Chris_Allen_(footballer,_born_1972)>	<playsFor>	Luton_Town_F.C.	Greece
<Baltimore–Washington_metropolitan_area>	<isLocatedIn>	Towson,_Maryland	Panama
<Maceo_Rigters>	<playsFor>	AFC_Ajax	Netherlands
<Martin_Short>	<hasWonPrize>	Tony_Award	Kazakhstan
<Martin_Short>	<actedIn>	The_Spiderwick_Chronicles_(film)	Kazakhstan
<Art_Center_College_of_Design>	<isLocatedIn>	Pasadena,_California	Iran
<Bolt_(2008_film)>	<isLocatedIn>	United_States	Scotland
<Alfredo_Foni>	<isAffiliatedTo>	Italy_national_football_team	Italy
<Perry_Suckling>	<isAffiliatedTo>	SuperSport_United_F.C.	Germany
<Jérôme_Leroy_(footballer)>	<isAffiliatedTo>	Le_Havre_AC	Cape_Verde
<Yago_Fernández>	<playsFor>	Sporting_Clube_de_Portugal	Wales
<Dave_Regis>	<isAffiliatedTo>	Lincoln_City_F.C.	Democratic_Republic_of_the_Congo
<Dave_Regis>	<playsFor>	Southend_United_F.C.	Democratic_Republic_of_the_Congo
<Aimee_Mann>	<wasBornIn>	Richmond,_Virginia	Austria
<Michael_Duberry>	<playsFor>	Reading_F.C.	Sweden
<Emerson_Thome>	<isAffiliatedTo>	Derby_County_F.C.	Kazakhstan
<George_W._Bush>	<wasBornIn>	New_Haven,_Connecticut	Serbia
<Danny_Andrew>	<playsFor>	Macclesfield_Town_F.C.	Italy
<Tim_Blake_Nelson>	<wasBornIn>	Tulsa,_Oklahoma	Chile
<Frank_Swift>	<playsFor>	Fulham_F.C.	Scotland
<Nikodimos_Papavasiliou>	<isAffiliatedTo>	Manager_(association_football)	United_States
<Nikodimos_Papavasiliou>	<playsFor>	Newcastle_United_F.C.	United_States
<Peter_Nicholas_(footballer)>	<wasBornIn>	Newport,_Wales	Nigeria
<Mike_Walker_(Welsh_footballer)>	<playsFor>	Reading_F.C.	Russia
<Frances_McDormand>	<hasWonPrize>	Drama_Desk_Award	India
<Frances_McDormand>	<actedIn>	Short_Cuts_(film)	India
<Danny_Elfman>	<wroteMusicFor>	Restless_(2011_film)	India
<Kevin_McLeod_(footballer)>	<isAffiliatedTo>	Everton_F.C.	Serbia
<Shlomi_Arbeitman>	<isAffiliatedTo>	Hapoel_Haifa_F.C.	India
<Sylvester_Stallone>	<actedIn>	Oscar_(1991_film)	China
<Phil_Spector>	<wasBornIn>	The_Bronx	England
<Shefki_Kuqi>	<playsFor>	Oldham_Athletic_A.F.C.	Japan
<Danny_Guthrie>	<playsFor>	Newcastle_United_F.C.	Chile
<Danny_Coyne>	<isAffiliatedTo>	Middlesbrough_F.C.	Slovenia
<Greg_Halford>	<playsFor>	Cardiff_City_F.C.	Cameroon
<Kingston_upon_Hull>	<isLocatedIn>	East_Riding_of_Yorkshire	Nigeria
<George_Lucas>	<graduatedFrom>	University_of_Southern_California	Serbia
<Robert_Loggia>	<actedIn>	Lost_Highway_(film)	Norway
<Jae_Martin>	<isAffiliatedTo>	Lincoln_City_F.C.	Canada
<Daniel_Nardiello>	<isAffiliatedTo>	Plymouth_Argyle_F.C.	Republic_of_Ireland
<Tony_Rougier>	<playsFor>	Reading_F.C.	Martinique
<War_of_the_Fourth_Coalition>	<happenedIn>	Germany	Croatia
<Albano_Bizzarri>	<isAffiliatedTo>	Delfino_Pescara_1936	Dominica
<Tony_Warner>	<playsFor>	Wellington_Phoenix_FC	Austria
<New_England_Conservatory_of_Music>	<isLocatedIn>	Massachusetts	Martinique
<Robert_F._Kennedy>	<graduatedFrom>	Harvard_University	England
<Robert_F._Kennedy>	<diedIn>	Los_Angeles	England
<Trevor_Aylott>	<isAffiliatedTo>	Crystal_Palace_F.C.	Bulgaria
<Trevor_Aylott>	<playsFor>	Wycombe_Wanderers_F.C.	Bulgaria
<Nicky_Summerbee>	<playsFor>	Tranmere_Rovers_F.C.	Senegal
<In_Your_House>	<isLocatedIn>	Florida	Democratic_Republic_of_the_Congo
<Tony_Witter>	<playsFor>	Millwall_F.C.	France
<Guy_Branston>	<playsFor>	Lincoln_City_F.C.	El_Salvador
<Guy_Branston>	<isAffiliatedTo>	Rotherham_United_F.C.	El_Salvador
<Queen_Victoria>	<created>	Royal_Victorian_Order	United_States
<nl/UNAMIS>	<isLocatedIn>	Norway	England
<Lee_Fowler>	<isAffiliatedTo>	Oxford_United_F.C.	Brazil
<Jon_Newby>	<isAffiliatedTo>	Crewe_Alexandra_F.C.	Bangladesh
<Horace_Brindley>	<playsFor>	Norwich_City_F.C.	Croatia
<Scott_Canham>	<isAffiliatedTo>	West_Ham_United_F.C.	Niger
<Orlando_Engelaar>	<isAffiliatedTo>	K.R.C._Genk	United_Kingdom
<Patrick_Kisnorbo>	<playsFor>	Heart_of_Midlothian_F.C.	Australia
<France>	<participatedIn>	International_Force_for_East_Timor	Bahrain
<Aaron_Shure>	<wasBornIn>	United_States	Bahrain
<Dave_Rogers_(footballer,_born_1975)>	<playsFor>	Dundee_F.C.	Nigeria
<Hancock_(film)>	<isLocatedIn>	United_States	Puerto_Rico
<Ludacris>	<created>	Burning_Bridges_(Ludacris_EP)	Cyprus
<Neil_Warnock>	<isAffiliatedTo>	Barnsley_F.C.	El_Salvador
<Keith_Houchen>	<playsFor>	Leyton_Orient_F.C.	United_Arab_Emirates
<Kasper_Schmeichel>	<playsFor>	Notts_County_F.C.	Greece
<Adam_Rooney>	<isAffiliatedTo>	Bury_F.C.	India
<Marvel_Entertainment>	<owns>	Marvel_Comics	El_Salvador
<Sean_Connery>	<actedIn>	The_Name_of_the_Rose_(film)	Ukraine
<Barry_Siddall>	<isAffiliatedTo>	Stockport_County_F.C.	Northern_Ireland
<Barry_Siddall>	<playsFor>	Bolton_Wanderers_F.C.	Northern_Ireland
<Graham_Potter>	<wasBornIn>	Solihull	Denmark
<Graham_Potter>	<playsFor>	West_Bromwich_Albion_F.C.	Denmark
<Ryan_Reynolds>	<actedIn>	Smokin'_Aces	Serbia
<Keith_Rowland>	<isAffiliatedTo>	Coventry_City_F.C.	Hungary
<Graham_Newton>	<playsFor>	Walsall_F.C.	Martinique
<Chris_Zebroski>	<playsFor>	Swindon_Town_F.C.	United_States
<Sanchez_Watt>	<isAffiliatedTo>	Leeds_United_F.C.	Brazil
<Richard_Walker_(footballer,_born_1977)>	<isAffiliatedTo>	Aston_Villa_F.C.	Austria
<Kevin_Phillips_(footballer)>	<isAffiliatedTo>	Aston_Villa_F.C.	Japan
<Brian_Jackson_(footballer,_born_1933)>	<isAffiliatedTo>	Burton_Albion_F.C.	Canada
<Richard_Key>	<wasBornIn>	Cambridge	Dominica
<Gavin_Hoyte>	<isAffiliatedTo>	Arsenal_F.C.	Hungary
<Tomislav_Ivić>	<isAffiliatedTo>	HNK_Hajduk_Split	Northern_Ireland
<Chris_Adamson>	<isAffiliatedTo>	Stockport_County_F.C.	Cameroon
<Scott_Loach>	<playsFor>	Notts_County_F.C.	Bangladesh
<Scott_Loach>	<isAffiliatedTo>	Notts_County_F.C.	Bangladesh
<Roberto_Di_Matteo>	<playsFor>	Chelsea_F.C.	Dominica
<Van_Nest_Polglase>	<diedIn>	Los_Angeles	United_Arab_Emirates
<Hartford_Wolf_Pack>	<isLocatedIn>	Hartford,_Connecticut	Cameroon
<Bertrand_Bossu>	<isAffiliatedTo>	Gillingham_F.C.	Northern_Ireland
<Diane_Lane>	<actedIn>	Casting_By	Bulgaria
<Donna_Summer>	<wasBornIn>	Boston	Austria
<Donna_Summer>	<hasWonPrize>	Grammy_Award	Austria
<Tim_Carter_(footballer)>	<isAffiliatedTo>	Millwall_F.C.	England
<Sean_Dyche>	<playsFor>	Luton_Town_F.C.	Slovenia
<Karl_Ready>	<isAffiliatedTo>	Farnborough_F.C.	Serbia
<Dave_Norton>	<playsFor>	Hull_City_A.F.C.	Sweden
<Cape_May_County,_New_Jersey>	<isLocatedIn>	New_Jersey	United_States
<Loïc_Rémy>	<isAffiliatedTo>	Olympique_Lyonnais	Australia
<Loïc_Rémy>	<playsFor>	Olympique_Lyonnais	Australia
<Arkansas>	<isLocatedIn>	United_States	Martinique
<Julian_de_Guzman>	<isAffiliatedTo>	Canada_men's_national_soccer_team	England
<John_Guidetti>	<isAffiliatedTo>	Celtic_F.C.	Bangladesh
<Appalachian_Mountains>	<isLocatedIn>	Virginia	Australia
<Paul_Musselwhite>	<isAffiliatedTo>	Portsmouth_F.C.	Israel
<Maurizio_Iorio>	<isAffiliatedTo>	Inter_Milan	Monaco
<Epsom>	<isLocatedIn>	Surrey	India
<Alou_Diarra>	<playsFor>	FC_Bayern_Munich	Brazil
<49th_Annual_Grammy_Awards>	<isLocatedIn>	Los_Angeles	Nigeria
<Owain_Tudur_Jones>	<playsFor>	Swansea_City_A.F.C.	Russia
<Bulawayo>	<isLocatedIn>	Zimbabwe	Germany
<Bob_Ludwig>	<hasWonPrize>	Grammy_Award	Kazakhstan
<Edmund_Husserl>	<graduatedFrom>	Leipzig_University	Kazakhstan
<Chris_Sutton>	<playsFor>	Birmingham_City_F.C.	Democratic_Republic_of_the_Congo
<Darren_Ward_(footballer,_born_1974)>	<isAffiliatedTo>	Notts_County_F.C.	United_Arab_Emirates
<Darren_Ward_(footballer,_born_1974)>	<playsFor>	Nottingham_Forest_F.C.	United_Arab_Emirates
<Richie_Foran>	<playsFor>	Shelbourne_F.C.	United_Kingdom
<Anthony_Hopkins>	<actedIn>	Alexander_(2004_film)	Northern_Ireland
<Matuzalém>	<playsFor>	S.S._Lazio	Spain
<Giovanni_Sio>	<isAffiliatedTo>	SC_Bastia	Austria
<Andy_O'Brien_(footballer)>	<isAffiliatedTo>	Bolton_Wanderers_F.C.	France
<Peter_Kyle>	<isAffiliatedTo>	Leicester_City_F.C.	Senegal
<Luigi_Radice>	<playsFor>	A.C._Milan	Jamaica
<Rwanda>	<hasNeighbor>	Democratic_Republic_of_the_Congo	Monaco
<József_Viola>	<isAffiliatedTo>	Vicenza_Calcio	Iran
<State_highways_serving_Virginia_state_institutions>	<isLocatedIn>	Fredericksburg,_Virginia	France
<Pamela_Adlon>	<hasWonPrize>	Primetime_Emmy_Award	Sweden
<Harry_Roberts_(footballer,_born_1907)>	<wasBornIn>	Barrow-in-Furness	Australia
<Lee_Canoville>	<playsFor>	Shrewsbury_Town_F.C.	France
<Arthur_Phoenix>	<playsFor>	Shelbourne_F.C.	Mali
<Dave_Mackay>	<diedIn>	Nottingham	Scotland
<John_Michael_Higgins>	<actedIn>	A_Mighty_Wind	Republic_of_the_Congo
<Tom_Cowan>	<isAffiliatedTo>	Sheffield_United_F.C.	France
<James_Ingram>	<wasBornIn>	Akron,_Ohio	Nigeria
